Rank;TZ;DAIO;Yr;mvts;;;
Base;Bosnia and Herzegovina;AD;2014;14,284;;;
Base;Bosnia and Herzegovina;AD;2015;14,378;;;
Base;Bosnia and Herzegovina;AD;2016;14,460;;;
Base;Bosnia and Herzegovina;AD;2017;16,956;;;
Base;Bosnia and Herzegovina;AD;2018;17,669;;;
Base;Bosnia and Herzegovina;AD;2019;19,005;;;
Base;Bosnia and Herzegovina;AD;2020;8,494;;;
Base;Bosnia and Herzegovina;AD;2021;15,271;;;
Base;Bosnia and Herzegovina;AD;2022;21,709;;;
High;Bosnia and Herzegovina;AD;2022;21,709;;;
Low;Bosnia and Herzegovina;AD;2022;21,709;;;
Base;Bosnia and Herzegovina;AD;2023;22,616;;;
High;Bosnia and Herzegovina;AD;2023;22,787;;;
Low;Bosnia and Herzegovina;AD;2023;22,449;;;
Base;Bosnia and Herzegovina;AD;2024;24,998;;;
High;Bosnia and Herzegovina;AD;2024;25,668;;;
Low;Bosnia and Herzegovina;AD;2024;24,267;;;
Base;Bosnia and Herzegovina;AD;2025;26,002;;;
High;Bosnia and Herzegovina;AD;2025;27,410;;;
Low;Bosnia and Herzegovina;AD;2025;24,551;;;
Base;Bosnia and Herzegovina;AD;2026;26,975;;;
High;Bosnia and Herzegovina;AD;2026;29,010;;;
Low;Bosnia and Herzegovina;AD;2026;24,928;;;
Base;Bosnia and Herzegovina;AD;2027;27,848;;;
High;Bosnia and Herzegovina;AD;2027;30,551;;;
Low;Bosnia and Herzegovina;AD;2027;25,194;;;
Base;Bosnia and Herzegovina;AD;2028;28,685;;;
High;Bosnia and Herzegovina;AD;2028;32,042;;;
Low;Bosnia and Herzegovina;AD;2028;25,453;;;
Base;Bosnia and Herzegovina;AD;2029;29,308;;;
High;Bosnia and Herzegovina;AD;2029;33,326;;;
Low;Bosnia and Herzegovina;AD;2029;25,518;;;
Base;Bulgaria;AD;2010;67,135;;;
Base;Bulgaria;AD;2011;68,084;;;
Base;Bulgaria;AD;2012;64,328;;;
Base;Bulgaria;AD;2013;62,595;;;
Base;Bulgaria;AD;2014;66,298;;;
Base;Bulgaria;AD;2015;67,788;;;
Base;Bulgaria;AD;2016;79,906;;;
Base;Bulgaria;AD;2017;87,129;;;
Base;Bulgaria;AD;2018;94,043;;;
Base;Bulgaria;AD;2019;88,837;;;
Base;Bulgaria;AD;2020;41,895;;;
Base;Bulgaria;AD;2021;52,267;;;
Base;Bulgaria;AD;2022;72,364;;;
High;Bulgaria;AD;2022;72,364;;;
Low;Bulgaria;AD;2022;72,364;;;
Base;Bulgaria;AD;2023;81,454;;;
High;Bulgaria;AD;2023;81,999;;;
Low;Bulgaria;AD;2023;80,908;;;
Base;Bulgaria;AD;2024;85,135;;;
High;Bulgaria;AD;2024;87,409;;;
Low;Bulgaria;AD;2024;82,903;;;
Base;Bulgaria;AD;2025;87,476;;;
High;Bulgaria;AD;2025;92,313;;;
Low;Bulgaria;AD;2025;82,984;;;
Base;Bulgaria;AD;2026;89,839;;;
High;Bulgaria;AD;2026;96,810;;;
Low;Bulgaria;AD;2026;83,531;;;
Base;Bulgaria;AD;2027;92,002;;;
High;Bulgaria;AD;2027;101,216;;;
Low;Bulgaria;AD;2027;83,876;;;
Base;Bulgaria;AD;2028;94,185;;;
High;Bulgaria;AD;2028;105,608;;;
Low;Bulgaria;AD;2028;84,310;;;
Base;Bulgaria;AD;2029;95,757;;;
High;Bulgaria;AD;2029;109,413;;;
Low;Bulgaria;AD;2029;84,195;;;
Base;Croatia;AD;2010;63,716;;;
Base;Croatia;AD;2011;64,414;;;
Base;Croatia;AD;2012;64,626;;;
Base;Croatia;AD;2013;66,452;;;
Base;Croatia;AD;2014;68,223;;;
Base;Croatia;AD;2015;71,998;;;
Base;Croatia;AD;2016;78,313;;;
Base;Croatia;AD;2017;87,790;;;
Base;Croatia;AD;2018;96,438;;;
